#twotheta, yobs, ycal, bkg, diff
2.278000e+001,2.672524e+004,2.678693e+004,2.640281e+004,-6.169377e+001
2.279000e+001,2.676080e+004,2.679283e+004,2.638825e+004,-3.203652e+001
2.280000e+001,2.697755e+004,2.680049e+004,2.637368e+004,1.770546e+002
2.281000e+001,2.683819e+004,2.681012e+004,2.635912e+004,2.806469e+001
2.282000e+001,2.683003e+004,2.682195e+004,2.634456e+004,8.071825e+000
2.283000e+001,2.695577e+004,2.683627e+004,2.633000e+004,1.194987e+002
2.284000e+001,2.684652e+004,2.685340e+004,2.631544e+004,-6.876771e+000
2.285000e+001,2.694406e+004,2.687371e+004,2.630087e+004,7.034727e+001
2.286000e+001,2.700294e+004,2.689766e+004,2.628631e+004,1.052869e+002
2.287000e+001,2.691404e+004,2.692577e+004,2.627175e+004,-1.172616e+001
2.288000e+001,2.701413e+004,2.695867e+004,2.625719e+004,5.546226e+001
2.289000e+001,2.700648e+004,2.699713e+004,2.624263e+004,9.350432e+000
2.290000e+001,2.705434e+004,2.704205e+004,2.622806e+004,1.228483e+001
2.291000e+001,2.706773e+004,2.709455e+004,2.621350e+004,-2.681652e+001
2.292000e+001,2.726200e+004,2.715595e+004,2.619894e+004,1.060472e+002
2.293000e+001,2.747645e+004,2.722790e+004,2.618438e+004,2.485483e+002
2.294000e+001,2.754642e+004,2.731235e+004,2.616982e+004,2.340753e+002
2.295000e+001,2.770932e+004,2.741168e+004,2.615525e+004,2.976358e+002
2.296000e+001,2.799603e+004,2.752874e+004,2.614069e+004,4.672976e+002
2.297000e+001,2.796055e+004,2.766689e+004,2.612613e+004,2.936667e+002
2.298000e+001,2.811338e+004,2.783009e+004,2.611157e+004,2.832945e+002
2.299000e+001,2.818845e+004,2.802290e+004,2.609701e+004,1.655502e+002
2.300000e+001,2.826654e+004,2.825045e+004,2.608244e+004,1.608344e+001
2.301000e+001,2.861072e+004,2.851831e+004,2.606788e+004,9.240911e+001
2.302000e+001,2.901434e+004,2.883211e+004,2.605332e+004,1.822287e+002
2.303000e+001,2.922995e+004,2.919682e+004,2.603876e+004,3.313711e+001
2.304000e+001,2.953321e+004,2.961539e+004,2.602420e+004,-8.218536e+001
2.305000e+001,3.022642e+004,3.008656e+004,2.600963e+004,1.398619e+002
2.306000e+001,3.048937e+004,3.060151e+004,2.599507e+004,-1.121423e+002
2.307000e+001,3.106102e+004,3.114014e+004,2.598051e+004,-7.911995e+001
2.308000e+001,3.164193e+004,3.166835e+004,2.596595e+004,-2.641634e+001
2.309000e+001,3.209170e+004,3.213975e+004,2.595139e+004,-4.804618e+001
2.310000e+001,3.283172e+004,3.250477e+004,2.593683e+004,3.269519e+002
2.311000e+001,3.262893e+004,3.272014e+004,2.592226e+004,-9.120863e+001
2.312000e+001,3.296893e+004,3.269944e+004,2.590770e+004,2.694857e+002
2.313000e+001,3.254959e+004,3.247182e+004,2.589314e+004,7.776664e+001
2.314000e+001,3.232246e+004,3.212489e+004,2.587858e+004,1.975692e+002
2.315000e+001,3.169946e+004,3.172723e+004,2.586402e+004,-2.776962e+001
2.316000e+001,3.112636e+004,3.131023e+004,2.584945e+004,-1.838767e+002
2.317000e+001,3.084652e+004,3.087306e+004,2.583489e+004,-2.654505e+001
2.318000e+001,3.053826e+004,3.038059e+004,2.582033e+004,1.576672e+002
2.319000e+001,3.006674e+004,2.985721e+004,2.580577e+004,2.095313e+002
2.320000e+001,2.947352e+004,2.934571e+004,2.579121e+004,1.278165e+002
2.321000e+001,2.895865e+004,2.887906e+004,2.577664e+004,7.959704e+001
2.322000e+001,2.867438e+004,2.847285e+004,2.576208e+004,2.015207e+002
2.323000e+001,2.828603e+004,2.812886e+004,2.574752e+004,1.571704e+002
2.324000e+001,2.760370e+004,2.784139e+004,2.573296e+004,-2.376880e+002
2.325000e+001,2.724605e+004,2.760212e+004,2.571840e+004,-3.560745e+002
2.326000e+001,2.691166e+004,2.740282e+004,2.570383e+004,-4.911592e+002
2.327000e+001,2.720269e+004,2.723634e+004,2.568927e+004,-3.364551e+001
2.328000e+001,2.698888e+004,2.709692e+004,2.567471e+004,-1.080379e+002
2.329000e+001,2.716184e+004,2.698010e+004,2.566015e+004,1.817404e+002
2.330000e+001,2.679895e+004,2.688241e+004,2.564559e+004,-8.346299e+001
2.331000e+001,2.691546e+004,2.680125e+004,2.563102e+004,1.142134e+002
2.332000e+001,2.677413e+004,2.673463e+004,2.561646e+004,3.950170e+001
2.333000e+001,2.667000e+004,2.668108e+004,2.560190e+004,-1.107526e+001
2.334000e+001,2.665587e+004,2.663955e+004,2.558734e+004,1.632306e+001
2.335000e+001,2.652343e+004,2.660936e+004,2.557278e+004,-8.593328e+001
