#twotheta, yobs, ycal, bkg, diff
2.277000e+001,8.029546e+003,8.080795e+003,7.939421e+003,-5.124812e+001
2.278000e+001,7.987794e+003,8.082470e+003,7.934062e+003,-9.467639e+001
2.279000e+001,8.048232e+003,8.084744e+003,7.928707e+003,-3.651167e+001
2.280000e+001,8.150654e+003,8.087688e+003,7.923355e+003,6.296599e+001
2.281000e+001,8.064577e+003,8.091385e+003,7.918006e+003,-2.680830e+001
2.282000e+001,8.095505e+003,8.095930e+003,7.912661e+003,-4.249951e-001
2.283000e+001,8.048283e+003,8.101435e+003,7.907319e+003,-5.315182e+001
2.284000e+001,8.200423e+003,8.108032e+003,7.901981e+003,9.239040e+001
2.285000e+001,8.189813e+003,8.115880e+003,7.896646e+003,7.393337e+001
2.286000e+001,8.103239e+003,8.125166e+003,7.891314e+003,-2.192709e+001
2.287000e+001,8.143599e+003,8.136122e+003,7.885986e+003,7.476678e+000
2.288000e+001,8.186140e+003,8.149035e+003,7.880661e+003,3.710497e+001
2.289000e+001,8.230191e+003,8.164262e+003,7.875340e+003,6.592906e+001
2.290000e+001,8.219183e+003,8.182258e+003,7.870022e+003,3.692445e+001
2.291000e+001,8.360944e+003,8.203602e+003,7.864707e+003,1.573420e+002
2.292000e+001,8.419178e+003,8.229037e+003,7.859396e+003,1.901411e+002
2.293000e+001,8.281520e+003,8.259508e+003,7.854089e+003,2.201199e+001
2.294000e+001,8.374844e+003,8.296211e+003,7.848784e+003,7.863273e+001
2.295000e+001,8.451722e+003,8.340638e+003,7.843483e+003,1.110841e+002
2.296000e+001,8.470203e+003,8.394608e+003,7.838185e+003,7.559511e+001
2.297000e+001,8.652248e+003,8.460295e+003,7.832891e+003,1.919532e+002
2.298000e+001,8.656298e+003,8.540218e+003,7.827600e+003,1.160799e+002
2.299000e+001,8.672732e+003,8.637203e+003,7.822313e+003,3.552907e+001
2.300000e+001,8.906604e+003,8.754286e+003,7.817029e+003,1.523187e+002
2.301000e+001,8.970290e+003,8.894526e+003,7.811748e+003,7.576437e+001
2.302000e+001,9.221763e+003,9.060674e+003,7.806471e+003,1.610891e+002
2.303000e+001,9.258922e+003,9.254569e+003,7.801197e+003,4.352627e+000
2.304000e+001,9.456372e+003,9.476097e+003,7.795927e+003,-1.972459e+001
2.305000e+001,9.665113e+003,9.721517e+003,7.790660e+003,-5.640364e+001
2.306000e+001,9.842224e+003,9.981237e+003,7.785396e+003,-1.390130e+002
2.307000e+001,1.030423e+004,1.023783e+004,7.780136e+003,6.640648e+001
2.308000e+001,1.042724e+004,1.046635e+004,7.774879e+003,-3.910457e+001
2.309000e+001,1.076818e+004,1.063953e+004,7.769626e+003,1.286580e+002
2.310000e+001,1.080645e+004,1.073207e+004,7.764376e+003,7.437876e+001
2.311000e+001,1.074318e+004,1.070395e+004,7.759129e+003,3.923445e+001
2.312000e+001,1.064316e+004,1.058339e+004,7.753886e+003,5.977001e+001
2.313000e+001,1.048599e+004,1.041852e+004,7.748646e+003,6.746303e+001
2.314000e+001,1.021998e+004,1.024012e+004,7.743409e+003,-2.014685e+001
2.315000e+001,1.012726e+004,1.005691e+004,7.738176e+003,7.034557e+001
2.316000e+001,9.912537e+003,9.861233e+003,7.732946e+003,5.130394e+001
2.317000e+001,9.700743e+003,9.636167e+003,7.727720e+003,6.457639e+001
2.318000e+001,9.339401e+003,9.398771e+003,7.722497e+003,-5.937000e+001
2.319000e+001,9.205332e+003,9.171881e+003,7.717278e+003,3.345104e+001
2.320000e+001,9.025776e+003,8.970498e+003,7.712062e+003,5.527820e+001
2.321000e+001,8.887134e+003,8.799878e+003,7.706849e+003,8.725536e+001
2.322000e+001,8.595103e+003,8.658905e+003,7.701640e+003,-6.380174e+001
2.323000e+001,8.557907e+003,8.543700e+003,7.696434e+003,1.420741e+001
2.324000e+001,8.470048e+003,8.449818e+003,7.691231e+003,2.023032e+001
2.325000e+001,8.388284e+003,8.373230e+003,7.686032e+003,1.505460e+001
2.326000e+001,8.413715e+003,8.310621e+003,7.680836e+003,1.030941e+002
2.327000e+001,8.112697e+003,8.259384e+003,7.675644e+003,-1.466873e+002
2.328000e+001,8.320586e+003,8.217512e+003,7.670455e+003,1.030735e+002
2.329000e+001,8.185340e+003,8.183474e+003,7.665270e+003,1.866261e+000
2.330000e+001,8.232435e+003,8.156104e+003,7.660087e+003,7.633028e+001
2.331000e+001,8.152687e+003,8.134530e+003,7.654909e+003,1.815712e+001
2.332000e+001,8.070714e+003,8.118106e+003,7.649733e+003,-4.739144e+001
2.333000e+001,8.181833e+003,8.106379e+003,7.644561e+003,7.545388e+001
2.334000e+001,8.162246e+003,8.099063e+003,7.639393e+003,6.318353e+001
2.335000e+001,8.164316e+003,8.096020e+003,7.634228e+003,6.829583e+001
2.336000e+001,8.183141e+003,8.097260e+003,7.629066e+003,8.588153e+001
2.337000e+001,8.190013e+003,8.102932e+003,7.623908e+003,8.708076e+001
2.338000e+001,8.268386e+003,8.113337e+003,7.618753e+003,1.550484e+002
2.339000e+001,8.247036e+003,8.128927e+003,7.613601e+003,1.181091e+002
2.340000e+001,8.155678e+003,8.150317e+003,7.608453e+003,5.360570e+000
2.341000e+001,8.155554e+003,8.178293e+003,7.603308e+003,-2.273912e+001
2.342000e+001,8.306193e+003,8.213813e+003,7.598167e+003,9.238001e+001
2.343000e+001,8.352938e+003,8.258010e+003,7.593029e+003,9.492722e+001
2.344000e+001,8.372872e+003,8.312176e+003,7.587894e+003,6.069565e+001
2.345000e+001,8.394610e+003,8.377743e+003,7.582763e+003,1.686739e+001
2.346000e+001,8.410728e+003,8.456238e+003,7.577635e+003,-4.550926e+001
2.347000e+001,8.693408e+003,8.549217e+003,7.572511e+003,1.441916e+002
2.348000e+001,8.588069e+003,8.658152e+003,7.567390e+003,-7.008268e+001
2.349000e+001,8.876879e+003,8.784253e+003,7.562272e+003,9.262570e+001
2.350000e+001,8.823442e+003,8.928178e+003,7.557158e+003,-1.047352e+002
2.351000e+001,9.074980e+003,9.089585e+003,7.552047e+003,-1.460434e+001
2.352000e+001,9.325672e+003,9.266494e+003,7.546939e+003,5.917823e+001
2.353000e+001,9.626975e+003,9.454469e+003,7.541835e+003,1.725056e+002
2.354000e+001,9.635369e+003,9.645831e+003,7.536735e+003,-1.046161e+001
2.355000e+001,9.715567e+003,9.829346e+003,7.531638e+003,-1.137791e+002
2.356000e+001,9.960628e+003,9.991086e+003,7.526544e+003,-3.045833e+001
2.357000e+001,1.020537e+004,1.011690e+004,7.521453e+003,8.846638e+001
2.358000e+001,1.027028e+004,1.019208e+004,7.516366e+003,7.819834e+001
2.359000e+001,1.013200e+004,1.014908e+004,7.511283e+003,-1.708173e+001
2.360000e+001,1.010558e+004,1.000383e+004,7.506202e+003,1.017424e+002
2.361000e+001,9.863760e+003,9.816590e+003,7.501125e+003,4.717007e+001
2.362000e+001,9.663431e+003,9.628289e+003,7.496052e+003,3.514192e+001
2.363000e+001,9.580546e+003,9.453215e+003,7.490982e+003,1.273308e+002
2.364000e+001,9.298751e+003,9.287070e+003,7.485915e+003,1.168072e+001
2.365000e+001,9.068112e+003,9.092777e+003,7.480852e+003,-2.466435e+001
2.366000e+001,8.833887e+003,8.877552e+003,7.475792e+003,-4.366574e+001
2.367000e+001,8.664119e+003,8.668136e+003,7.470736e+003,-4.016502e+000
2.368000e+001,8.298654e+003,8.482626e+003,7.465682e+003,-1.839717e+002
2.369000e+001,8.354828e+003,8.327033e+003,7.460633e+003,2.779534e+001
2.370000e+001,8.267615e+003,8.199818e+003,7.455586e+003,6.779692e+001
2.371000e+001,8.250713e+003,8.096550e+003,7.450544e+003,1.541630e+002
2.372000e+001,8.168817e+003,8.012461e+003,7.445504e+003,1.563556e+002
2.373000e+001,8.142747e+003,7.943436e+003,7.440468e+003,1.993107e+002
2.374000e+001,7.861146e+003,7.886214e+003,7.435435e+003,-2.506821e+001
2.375000e+001,7.872255e+003,7.838296e+003,7.430406e+003,3.395874e+001
2.376000e+001,7.827424e+003,7.797788e+003,7.425380e+003,2.963657e+001
2.377000e+001,7.690415e+003,7.763242e+003,7.420357e+003,-7.282750e+001
2.378000e+001,7.644464e+003,7.733545e+003,7.415338e+003,-8.908073e+001
2.379000e+001,7.726673e+003,7.707827e+003,7.410323e+003,1.884631e+001
2.380000e+001,7.723171e+003,7.685406e+003,7.405310e+003,3.776440e+001
2.381000e+001,7.711566e+003,7.665743e+003,7.400301e+003,4.582304e+001
2.382000e+001,7.624175e+003,7.648406e+003,7.395296e+003,-2.423100e+001
2.383000e+001,7.696549e+003,7.633054e+003,7.390294e+003,6.349564e+001
2.384000e+001,7.579059e+003,7.619410e+003,7.385295e+003,-4.035101e+001
2.385000e+001,7.558061e+003,7.607255e+003,7.380299e+003,-4.919350e+001
2.386000e+001,7.562510e+003,7.596411e+003,7.375308e+003,-3.390110e+001
2.387000e+001,7.542963e+003,7.586735e+003,7.370319e+003,-4.377172e+001
2.388000e+001,7.598325e+003,7.578113e+003,7.365334e+003,2.021200e+001
2.389000e+001,7.611256e+003,7.570454e+003,7.360352e+003,4.080204e+001
2.390000e+001,7.559530e+003,7.563685e+003,7.355374e+003,-4.155252e+000
2.391000e+001,7.736443e+003,7.557751e+003,7.350399e+003,1.786919e+002
2.392000e+001,7.515583e+003,7.552610e+003,7.345427e+003,-3.702756e+001
