#twotheta, yobs, ycal, bkg, diff
2.200000e+001,8.693524e+003,9.020067e+003,8.999705e+003,-3.265428e+002
2.201000e+001,8.975167e+003,9.014463e+003,8.993804e+003,-3.929577e+001
2.202000e+001,8.967124e+003,9.008869e+003,8.987908e+003,-4.174476e+001
2.203000e+001,8.915743e+003,9.003285e+003,8.982014e+003,-8.754216e+001
2.204000e+001,8.956016e+003,8.997713e+003,8.976124e+003,-4.169720e+001
2.205000e+001,8.879955e+003,8.992151e+003,8.970237e+003,-1.121962e+002
2.206000e+001,8.874864e+003,8.986601e+003,8.964354e+003,-1.117369e+002
2.207000e+001,8.809922e+003,8.981063e+003,8.958474e+003,-1.711409e+002
2.208000e+001,8.938773e+003,8.975536e+003,8.952598e+003,-3.676281e+001
2.209000e+001,8.748107e+003,8.970022e+003,8.946725e+003,-2.219145e+002
2.210000e+001,8.759902e+003,8.964520e+003,8.940855e+003,-2.046177e+002
2.211000e+001,8.806113e+003,8.959031e+003,8.934989e+003,-1.529177e+002
2.212000e+001,8.900728e+003,8.953555e+003,8.929127e+003,-5.282774e+001
2.213000e+001,8.901780e+003,8.948093e+003,8.923268e+003,-4.631268e+001
2.214000e+001,8.702666e+003,8.942645e+003,8.917412e+003,-2.399786e+002
2.215000e+001,9.004251e+003,8.937211e+003,8.911559e+003,6.704041e+001
2.216000e+001,8.824685e+003,8.931791e+003,8.905710e+003,-1.071067e+002
2.217000e+001,8.884171e+003,8.926387e+003,8.899865e+003,-4.221616e+001
2.218000e+001,8.876823e+003,8.920998e+003,8.894023e+003,-4.417526e+001
2.219000e+001,8.775552e+003,8.915626e+003,8.888184e+003,-1.400741e+002
2.220000e+001,8.915321e+003,8.910270e+003,8.882349e+003,5.051352e+000
2.221000e+001,8.899393e+003,8.904931e+003,8.876517e+003,-5.538456e+000
2.222000e+001,8.756814e+003,8.899610e+003,8.870689e+003,-1.427963e+002
2.223000e+001,8.832607e+003,8.894307e+003,8.864864e+003,-6.169935e+001
2.224000e+001,8.721354e+003,8.889023e+003,8.859043e+003,-1.676680e+002
2.225000e+001,8.653042e+003,8.883758e+003,8.853225e+003,-2.307157e+002
2.226000e+001,8.774576e+003,8.878513e+003,8.847410e+003,-1.039369e+002
2.227000e+001,8.802579e+003,8.873289e+003,8.841599e+003,-7.071022e+001
2.228000e+001,8.738415e+003,8.868087e+003,8.835791e+003,-1.296721e+002
2.229000e+001,8.681495e+003,8.862907e+003,8.829987e+003,-1.814122e+002
2.230000e+001,8.725173e+003,8.857751e+003,8.824186e+003,-1.325779e+002
2.231000e+001,8.834632e+003,8.852618e+003,8.818389e+003,-1.798652e+001
2.232000e+001,8.775059e+003,8.847511e+003,8.812595e+003,-7.245234e+001
2.233000e+001,8.738632e+003,8.842430e+003,8.806804e+003,-1.037978e+002
2.234000e+001,8.788955e+003,8.837375e+003,8.801017e+003,-4.842029e+001
2.235000e+001,8.945361e+003,8.832349e+003,8.795233e+003,1.130119e+002
2.236000e+001,8.716680e+003,8.827353e+003,8.789453e+003,-1.106731e+002
2.237000e+001,8.701427e+003,8.822387e+003,8.783676e+003,-1.209601e+002
2.238000e+001,8.880550e+003,8.817453e+003,8.777903e+003,6.309678e+001
2.239000e+001,8.782611e+003,8.812553e+003,8.772133e+003,-2.994126e+001
2.240000e+001,8.719810e+003,8.807687e+003,8.766366e+003,-8.787745e+001
2.241000e+001,8.771330e+003,8.802858e+003,8.760603e+003,-3.152802e+001
2.242000e+001,8.815354e+003,8.798067e+003,8.754843e+003,1.728702e+001
2.243000e+001,8.779735e+003,8.793317e+003,8.749087e+003,-1.358157e+001
2.244000e+001,8.727184e+003,8.788609e+003,8.743334e+003,-6.142496e+001
2.245000e+001,8.672397e+003,8.783944e+003,8.737585e+003,-1.115479e+002
2.246000e+001,8.744416e+003,8.779327e+003,8.731839e+003,-3.491061e+001
2.247000e+001,8.833029e+003,8.774758e+003,8.726096e+003,5.827156e+001
2.248000e+001,8.872991e+003,8.770240e+003,8.720357e+003,1.027509e+002
2.249000e+001,8.807084e+003,8.765777e+003,8.714622e+003,4.130688e+001
2.250000e+001,8.854949e+003,8.761371e+003,8.708890e+003,9.357805e+001
2.251000e+001,8.602890e+003,8.757026e+003,8.703161e+003,-1.541360e+002
2.252000e+001,8.738807e+003,8.752744e+003,8.697435e+003,-1.393738e+001
2.253000e+001,8.630056e+003,8.748530e+003,8.691713e+003,-1.184743e+002
2.254000e+001,8.686703e+003,8.744388e+003,8.685995e+003,-5.768454e+001
2.255000e+001,8.676122e+003,8.740321e+003,8.680280e+003,-6.419924e+001
2.256000e+001,8.748124e+003,8.736336e+003,8.674568e+003,1.178821e+001
2.257000e+001,8.708425e+003,8.732436e+003,8.668860e+003,-2.401131e+001
2.258000e+001,8.581477e+003,8.728628e+003,8.663155e+003,-1.471513e+002
2.259000e+001,8.656913e+003,8.724917e+003,8.657454e+003,-6.800399e+001
2.260000e+001,8.691523e+003,8.721310e+003,8.651756e+003,-2.978697e+001
2.261000e+001,8.656846e+003,8.717815e+003,8.646062e+003,-6.096918e+001
2.262000e+001,8.552907e+003,8.714438e+003,8.640371e+003,-1.615312e+002
2.263000e+001,8.732627e+003,8.711190e+003,8.634683e+003,2.143737e+001
2.264000e+001,8.712068e+003,8.708078e+003,8.628999e+003,3.990567e+000
2.265000e+001,8.786959e+003,8.705113e+003,8.623318e+003,8.184566e+001
2.266000e+001,8.650618e+003,8.702307e+003,8.617641e+003,-5.168928e+001
2.267000e+001,8.615038e+003,8.699673e+003,8.611967e+003,-8.463461e+001
2.268000e+001,8.809873e+003,8.697223e+003,8.606296e+003,1.126502e+002
2.269000e+001,8.747300e+003,8.694973e+003,8.600629e+003,5.232684e+001
2.270000e+001,8.672059e+003,8.692940e+003,8.594966e+003,-2.088144e+001
2.271000e+001,8.601074e+003,8.691143e+003,8.589306e+003,-9.006855e+001
2.272000e+001,8.618521e+003,8.689602e+003,8.583649e+003,-7.108142e+001
2.273000e+001,8.695014e+003,8.688341e+003,8.577996e+003,6.672896e+000
2.274000e+001,8.715669e+003,8.687385e+003,8.572346e+003,2.828348e+001
2.275000e+001,8.718465e+003,8.686765e+003,8.566699e+003,3.169978e+001
2.276000e+001,8.785659e+003,8.686513e+003,8.561056e+003,9.914663e+001
2.277000e+001,8.720174e+003,8.686665e+003,8.555417e+003,3.350833e+001
2.278000e+001,8.571361e+003,8.687266e+003,8.549781e+003,-1.159051e+002
2.279000e+001,8.669245e+003,8.688364e+003,8.544148e+003,-1.911918e+001
2.280000e+001,8.738928e+003,8.690016e+003,8.538519e+003,4.891174e+001
2.281000e+001,8.798654e+003,8.692288e+003,8.532893e+003,1.063665e+002
2.282000e+001,8.798757e+003,8.695258e+003,8.527270e+003,1.034984e+002
2.283000e+001,8.865350e+003,8.699022e+003,8.521651e+003,1.663279e+002
2.284000e+001,8.740853e+003,8.703691e+003,8.516036e+003,3.716252e+001
2.285000e+001,8.671275e+003,8.709405e+003,8.510424e+003,-3.812942e+001
2.286000e+001,8.718537e+003,8.716333e+003,8.504815e+003,2.203732e+000
2.287000e+001,8.739072e+003,8.724687e+003,8.499210e+003,1.438544e+001
2.288000e+001,8.841401e+003,8.734725e+003,8.493608e+003,1.066760e+002
2.289000e+001,8.789553e+003,8.746770e+003,8.488010e+003,4.278270e+001
2.290000e+001,8.753682e+003,8.761215e+003,8.482415e+003,-7.533484e+000
2.291000e+001,8.838590e+003,8.778541e+003,8.476823e+003,6.004925e+001
2.292000e+001,8.868555e+003,8.799324e+003,8.471235e+003,6.923109e+001
2.293000e+001,8.906807e+003,8.824248e+003,8.465651e+003,8.255832e+001
2.294000e+001,9.067870e+003,8.854111e+003,8.460069e+003,2.137591e+002
2.295000e+001,9.005009e+003,8.889821e+003,8.454492e+003,1.151878e+002
