#twotheta, yobs, ycal, bkg, diff
2.200000e+001,8.638444e+003,8.830278e+003,8.813961e+003,-1.918333e+002
2.201000e+001,8.572690e+003,8.824697e+003,8.808153e+003,-2.520078e+002
2.202000e+001,8.710228e+003,8.819126e+003,8.802349e+003,-1.088971e+002
2.203000e+001,8.627265e+003,8.813563e+003,8.796548e+003,-1.862981e+002
2.204000e+001,8.509896e+003,8.808009e+003,8.790750e+003,-2.981133e+002
2.205000e+001,8.778407e+003,8.802464e+003,8.784955e+003,-2.405681e+001
2.206000e+001,8.687491e+003,8.796929e+003,8.779164e+003,-1.094374e+002
2.207000e+001,8.691423e+003,8.791403e+003,8.773377e+003,-9.997982e+001
2.208000e+001,8.769156e+003,8.785887e+003,8.767593e+003,-1.673030e+001
2.209000e+001,8.660152e+003,8.780380e+003,8.761812e+003,-1.202282e+002
2.210000e+001,8.466992e+003,8.774885e+003,8.756035e+003,-3.078923e+002
2.211000e+001,8.639974e+003,8.769399e+003,8.750261e+003,-1.294255e+002
2.212000e+001,8.718865e+003,8.763924e+003,8.744490e+003,-4.505908e+001
2.213000e+001,8.771591e+003,8.758460e+003,8.738723e+003,1.313034e+001
2.214000e+001,8.654930e+003,8.753008e+003,8.732960e+003,-9.807817e+001
2.215000e+001,8.666146e+003,8.747567e+003,8.727199e+003,-8.142131e+001
2.216000e+001,8.397855e+003,8.742138e+003,8.721442e+003,-3.442821e+002
2.217000e+001,8.509530e+003,8.736720e+003,8.715689e+003,-2.271902e+002
2.218000e+001,8.543167e+003,8.731316e+003,8.709939e+003,-1.881489e+002
2.219000e+001,8.700404e+003,8.725924e+003,8.704192e+003,-2.551977e+001
2.220000e+001,8.540134e+003,8.720545e+003,8.698449e+003,-1.804117e+002
2.221000e+001,8.628932e+003,8.715180e+003,8.692709e+003,-8.624884e+001
2.222000e+001,8.582720e+003,8.709829e+003,8.686973e+003,-1.271097e+002
2.223000e+001,8.608830e+003,8.704493e+003,8.681240e+003,-9.566266e+001
2.224000e+001,8.657131e+003,8.699171e+003,8.675511e+003,-4.204008e+001
2.225000e+001,8.723376e+003,8.693865e+003,8.669784e+003,2.951148e+001
2.226000e+001,8.683205e+003,8.688574e+003,8.664062e+003,-5.368793e+000
2.227000e+001,8.713022e+003,8.683300e+003,8.658342e+003,2.972188e+001
2.228000e+001,8.857292e+003,8.678042e+003,8.652626e+003,1.792498e+002
2.229000e+001,8.653310e+003,8.672802e+003,8.646914e+003,-1.949276e+001
2.230000e+001,8.572790e+003,8.667581e+003,8.641205e+003,-9.479059e+001
2.231000e+001,8.504349e+003,8.662378e+003,8.635499e+003,-1.580290e+002
2.232000e+001,8.448666e+003,8.657194e+003,8.629797e+003,-2.085280e+002
2.233000e+001,8.559216e+003,8.652031e+003,8.624098e+003,-9.281486e+001
2.234000e+001,8.573701e+003,8.646888e+003,8.618403e+003,-7.318706e+001
2.235000e+001,8.565992e+003,8.641768e+003,8.612711e+003,-7.577544e+001
