Meta Data
Label,Value,
Date,5/9/2022
Profile,HillsAndValleys
ScanDuration,300 s
ScanLength,6397.05 µm
ScanResolution,0.0710768 µm
ScanType,Standard Scan
StylusForce,5 mg
StylusScanRange,524 µm
StylusType,Radius: 12.5 μm
Time,11:04:28 AM


Data Leveling Position
R Cursor Position,1701.88708457139 µm
R Cursor Width,0 µm
M Cursor Position,2236.26366251348 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,113.816607067374,,
0.0710767538456912,110.210153575949,,
0.142153507691382,117.25530834669,,
0.213230261537074,109.99786423487,,
0.284307015382765,101.620606521808,,
0.355383769228456,103.789079873398,,
0.426460523074147,115.237181647428,,
0.497537276919838,99.9106641366447,,
0.56861403076553,93.6811381706657,,
0.639690784611221,89.5773698145363,,
0.710767538456912,88.2640082466269,,
0.781844292302603,89.0995731704237,,
0.852921046148294,112.042988495842,,
0.923997799993985,116.143684078041,,
0.995074553839677,109.230471770657,,
1.06615130768537,110.610137880608,,
1.13722806153106,90.3554297200443,,
1.20830481537675,88.6567122133076,,
1.27938156922244,66.9502472241598,,
1.35045832306813,75.8914096456016,,
1.42153507691382,76.8745304653347,,
1.49261183075952,79.3229621385639,,
1.56368858460521,83.0493692531386,,
1.6347653384509,77.6924902531231,,
1.70584209229659,82.9892546919926,,
1.77691884614228,79.1437302642548,,
1.84799559998797,75.8728052683663,,
1.91907235383366,83.549761508814,,
1.99014910767935,82.3715147389609,,
2.06122586152504,81.9841343997613,,
2.13230261537074,82.59776776187,,
2.20337936921643,94.4062816040176,,
2.27445612306212,87.3592689631588,,
2.34553287690781,91.0200426189354,,
2.4166096307535,96.0440540034669,,
2.48768638459919,102.424799181417,,
2.55876313844488,100.048070475889,,
2.62983989229057,108.871793366541,,
2.70091664613627,109.210741480034,,
2.77199339998196,120.78619796241,,
2.84307015382765,123.67003772547,,
2.91414690767334,127.36293542975,,
2.98522366151903,131.949709369543,,
3.05630041536472,137.481380831887,,
3.12737716921041,133.881244772424,,
3.1984539230561,141.064300508156,,
3.26953067690179,149.243959757225,,
3.34060743074749,157.853754336735,,
3.41168418459318,156.27410270232,,
3.48276093843887,154.171822341333,,
3.55383769228456,142.0594455835,,
3.62491444613025,150.852012596852,,
3.69599119997594,151.851345157213,,
3.76706795382163,155.070616681359,,
3.83814470766732,170.867494030846,,
3.90922146151302,179.110440192875,,
3.98029821535871,188.929546204873,,
4.0513749692044,200.057673318637,,
4.12245172305009,202.407617539546,,
4.19352847689578,196.312847103362,,
4.26460523074147,203.185926045034,,
4.33568198458716,225.109380283441,,
4.40675873843285,253.356972779419,,
4.47783549227854,278.355945621304,,
4.54891224612424,300.381152419465,,
4.61998899996993,340.183611646895,,
4.69106575381562,378.544198415982,,
4.76214250766131,415.096564929,,
4.833219261507,469.52351019853,,
4.90429601535269,521.242627072662,,
4.97537276919838,568.508648040734,,
5.04644952304407,599.808008211615,,
5.11752627688977,634.222623407004,,
5.18860303073546,671.872639467142,,
5.25967978458115,712.645948019091,,
5.33075653842684,746.10240498689,,
5.40183329227253,771.540399404792,,
5.47291004611822,798.592392048273,,
5.54398679996391,827.05734410125,,
5.6150635538096,866.355104619272,,
5.6861403076553,885.478507902886,,
5.75721706150099,882.978151868825,,
5.82829381534668,899.144581504484,,
5.89937056919237,905.411226155856,,
5.97044732303806,912.068931152272,,
6.04152407688375,929.824820806046,,
6.11260083072944,948.891453642001,,
6.18367758457513,958.414150888557,,
6.25475433842082,967.335796522029,,
6.32583109226652,964.993776034291,,
6.39690784611221,960.735607719644,,
6.4679845999579,964.486150423446,,
6.53906135380359,965.998030609842,,
6.61013810764928,944.31884164929,,
6.68121486149497,938.865218322115,,
6.75229161534066,920.137120371169,,
6.82336836918635,907.687190734392,,
6.89444512303205,881.702498532095,,
6.96552187687774,862.145212604336,,
7.03659863072343,839.799469031795,,
7.10767538456912,825.293062170522,,
7.17875213841481,799.618907792277,,
7.2498288922605,773.808808045126,,
7.32090564610619,759.956688517907,,
7.39198239995188,760.19334040736,,
7.46305915379758,765.679599454592,,
7.53413590764327,766.414827096929,,
7.60521266148896,791.971116860299,,
7.67628941533465,801.660690436283,,
7.74736616918034,813.39355864968,,
7.81844292302603,816.114873230428,,
7.88951967687172,808.859213572108,,
7.96059643071741,811.493348819808,,
8.0316731845631,824.485292542729,,
8.1027499384088,827.616149048348,,
8.17382669225449,820.297537695846,,
8.24490344610018,812.923781481523,,
8.31598019994587,816.761589050404,,
8.38705695379156,823.045306576607,,
8.45813370763725,832.339824889276,,
8.52921046148294,845.081533188227,,
8.60028721532863,851.495410666597,,
8.67136396917433,871.732081845136,,
8.74244072302002,886.106569180287,,
8.81351747686571,904.048265947378,,
8.8845942307114,925.161429926555,,
8.95567098455709,938.552248840522,,
9.02674773840278,963.056573495836,,
9.09782449224847,967.619543626048,,
9.16890124609416,970.61712801483,,
9.23997799993986,981.64564120607,,
9.31105475378555,970.133857840588,,
9.38213150763124,965.189631968473,,
9.45320826147693,957.03429219225,,
9.52428501532262,945.195032775271,,
9.59536176916831,929.081553885997,,
9.666438523014,918.081455643215,,
9.73751527685969,891.501092996171,,
9.80859203070538,858.377470521304,,
9.87966878455108,818.710492636541,,
9.95074553839677,782.882866296824,,
10.0218222922425,751.457063830223,,
10.0928990460881,704.397948058237,,
10.1639757999338,671.401837563633,,
10.2350525537795,632.7844463511,,
10.3061293076252,577.947804324828,,
10.3772060614709,526.950681850023,,
10.4482828153166,491.051292529292,,
10.5193595691623,431.242520598361,,
10.590436323008,388.234187340566,,
10.6615130768537,354.374480534423,,
10.7325898306994,321.139900624274,,
10.8036665845451,289.713726607677,,
10.8747433383908,271.483325584992,,
10.9458200922364,257.692038878603,,
11.0168968460821,258.791558429276,,
11.0879735999278,254.76366526409,,
11.1590503537735,254.758557784496,,
11.2301271076192,258.270312644691,,
11.3012038614649,264.612251135152,,
11.3722806153106,262.980085026933,,
11.4433573691563,262.696554288636,,
11.514434123002,263.754059554544,,
11.5855108768477,266.175372132448,,
11.6565876306934,269.962299282102,,
11.727664384539,275.049038471009,,
11.7987411383847,281.257581392245,,
11.8698178922304,278.204358596013,,
11.9408946460761,275.381752281657,,
12.0119713999218,282.638873594944,,
12.0830481537675,299.466088621945,,
12.1541249076132,284.358802266931,,
12.2252016614589,265.588858969944,,
12.2962784153046,253.498012649513,,
12.3673551691503,238.485860375796,,
12.438431922996,230.501590394286,,
12.5095086768417,209.519046533766,,
12.5805854306873,185.30657135283,,
12.651662184533,168.70877805753,,
12.7227389383787,150.939828892016,,
12.7938156922244,122.999121136263,,
12.8648924460701,116.367438509684,,
12.9359691999158,112.957314179641,,
13.0070459537615,103.179386235152,,
13.0781227076072,117.238628420838,,
13.1491994614529,135.342880331716,,
13.2202762152986,136.170298522237,,
13.2913529691443,128.619022952546,,
13.3624297229899,133.169090942289,,
13.4335064768356,140.960387839386,,
13.5045832306813,152.505893590046,,
13.575659984527,168.146720266582,,
13.6467367383727,187.950407722351,,
13.7178134922184,201.627987609228,,
13.7888902460641,228.732184034564,,
13.8599669999098,238.953769560989,,
13.9310437537555,251.303159880106,,
14.0021205076012,275.737372960441,,
14.0731972614469,291.699343688841,,
14.1442740152925,297.74360161853,,
14.2153507691382,312.961342936836,,
14.2864275229839,316.841822733405,,
14.3575042768296,318.476657108727,,
14.4285810306753,307.777372090728,,
14.499657784521,295.026241096445,,
14.5707345383667,301.322156502819,,
14.6418112922124,297.418039988637,,
14.7128880460581,292.703513700181,,
14.7839647999038,286.891142221951,,
