Meta Data
Label,Value,
Date,5/9/2022
Profile,HillsAndValleys
ScanDuration,300 s
ScanLength,7378.92 µm
ScanResolution,0.0819862 µm
ScanType,Standard Scan
StylusForce,5 mg
StylusScanRange,524 µm
StylusType,Radius: 12.5 μm
Time,12:08:19 PM


Data Leveling Position
R Cursor Position,1701.88708457139 µm
R Cursor Width,0 µm
M Cursor Position,2236.26366251348 µm
M Cursor Width,0 µm


Data
Lateral(µm),Total Profile(Å),,
0,446.001671224812,,
0.0819861780733352,431.748414894528,,
0.16397235614667,417.610495760969,,
0.245958534220006,411.325260887963,,
0.327944712293341,406.225932650717,,
0.409930890366676,394.655269424569,,
0.491917068440011,378.609601491094,,
0.573903246513346,375.531402736919,,
0.655889424586682,370.258088473908,,
0.737875602660017,356.459419489377,,
0.819861780733352,353.345738111341,,
0.901847958806687,352.348112684058,,
0.983834136880022,343.113564554045,,
1.06582031495336,345.79755917619,,
1.14780649302669,350.751616816765,,
1.22979267110003,357.509870389166,,
1.31177884917336,345.328501885312,,
1.3937650272467,353.662508149126,,
1.47575120532003,352.854738421828,,
1.55773738339337,352.070859300314,,
1.6397235614667,341.011238938336,,
1.72170973954004,339.479891720606,,
1.80369591761337,337.69941372923,,
1.88568209568671,335.198153237237,,
1.96766827376004,321.471681290699,,
2.04965445183338,316.305061122403,,
2.13164062990672,300.183387154191,,
2.21362680798005,293.386686454668,,
2.29561298605339,276.855801256058,,
2.37759916412672,271.125718625212,,
2.45958534220006,267.124957648134,,
2.54157152027339,274.985756920282,,
2.62355769834673,274.476393551441,,
2.70554387642006,264.724227040224,,
2.7875300544934,265.650915535279,,
2.86951623256673,257.726258351587,,
2.95150241064007,250.977969178931,,
3.0334885887134,266.148906416043,,
3.11547476678674,263.671244464989,,
3.19746094486007,262.943914025878,,
3.27944712293341,264.53166610627,,
3.36143330100674,268.815261409924,,
3.44341947908008,285.882835232523,,
3.52540565715341,295.279985597766,,
3.60739183522675,295.677208307503,,
3.68937801330008,306.322949333889,,
3.77136419137342,306.895443299451,,
3.85335036944675,296.611219571359,,
3.93533654752009,295.595262839124,,
4.01732272559342,294.597208117474,,
4.09930890366676,293.795559416485,,
4.1812950817401,293.348996486968,,
4.26328125981343,283.309544287688,,
4.34526743788676,283.765277931759,,
4.4272536159601,295.214084865321,,
4.50923979403344,287.261126334091,,
4.59122597210677,279.134871575007,,
4.67321215018011,281.4232285374,,
4.75519832825344,274.616768352801,,
4.83718450632678,268.645703595481,,
4.91917068440011,273.927970993453,,
5.00115686247345,280.533373243958,,
5.08314304054678,277.665151393481,,
5.16512921862012,274.549846282966,,
5.24711539669345,271.075001554219,,
5.32910157476679,257.202418549204,,
5.41108775284012,253.158276287717,,
5.49307393091346,259.792360869275,,
5.57506010898679,247.200845113822,,
5.65704628706013,245.177779493831,,
5.73903246513346,244.673361410425,,
5.8210186432068,245.991893961013,,
5.90300482128013,239.278903492005,,
5.98499099935347,254.683590947497,,
6.0669771774268,252.440055223238,,
6.14896335550014,261.605646388404,,
6.23094953357347,262.189695262033,,
6.31293571164681,263.662204668777,,
6.39492188972014,266.130293603775,,
6.47690806779348,269.741489285853,,
6.55889424586682,264.610622161347,,
6.64088042394015,270.95386534598,,
6.72286660201349,279.390368884206,,
6.80485278008682,289.820292705944,,
6.88683895816016,292.053569938497,,
6.96882513623349,295.998043765834,,
7.05081131430683,292.043770850589,,
7.13279749238016,310.48094605503,,
7.2147836704535,321.454245404393,,
7.29676984852683,333.418403209859,,
7.37875602660017,334.966165107785,,
7.4607422046735,344.701190320334,,
7.54272838274684,331.863938054123,,
7.62471456082017,315.815557201405,,
7.70670073889351,287.743160109915,,
7.78868691696684,289.596755957248,,
7.87067309504018,293.909068752831,,
7.95265927311351,291.434210624786,,
8.03464545118685,293.031382937516,,
8.11663162926018,310.109504767226,,
8.19861780733352,323.68006950525,,
8.28060398540685,343.881490430345,,
8.36259016348019,371.039138069487,,
8.44457634155352,405.055184986583,,
8.52656251962686,435.43158897399,,
8.6085486977002,461.461254424969,,
8.69053487577353,482.843249011809,,
8.77252105384687,519.637601188066,,
8.8545072319202,551.781913129493,,
8.93649340999354,598.06653924333,,
9.01847958806687,627.096353430086,,
9.10046576614021,646.627155870915,,
9.18245194421354,655.476526083714,,
9.26443812228688,673.04481749597,,
9.34642430036021,678.952493320581,,
9.42841047843355,692.04560019231,,
9.51039665650688,691.330413642809,,
9.59238283458022,675.053312360094,,
9.67436901265355,662.150830393935,,
9.75635519072689,642.164404082143,,
9.83834136880022,614.33413914015,,
9.92032754687356,568.41808100434,,
10.0023137249469,535.114299088211,,
10.0842999030202,486.275625946422,,
10.1662860810936,443.38254217031,,
10.2482722591669,419.008040197071,,
10.3302584372402,395.156656041538,,
10.4122446153136,362.609728385913,,
10.4942307933869,352.219546254506,,
10.5762169714602,344.97893402276,,
10.6582031495336,330.287838458594,,
10.7401893276069,327.411927828708,,
10.8221755056802,315.906106632389,,
10.9041616837536,304.771852346502,,
10.9861478618269,293.712055968537,,
11.0681340399003,282.643271415407,,
11.1501202179736,271.795915075013,,
11.2321063960469,261.777533185177,,
11.3140925741203,253.554270756021,,
11.3960787521936,248.316125966246,,
11.4780649302669,247.228898252448,,
11.5600511083403,261.173857829217,,
11.6420372864136,280.353654851702,,
11.7240234644869,293.661304754762,,
11.8060096425603,309.536043628951,,
11.8879958206336,316.62231075926,,
11.9699819987069,313.465668727372,,
