,cond_re,cond_im,freq,grid,np_size,wires
18,6.2482433679652765,-0.30071514054550547,1.1999999999999997,130,0.06,False
19,6.247059258332133,-0.31174680984195235,1.2499999999999998,130,0.06,False
20,6.249595326660517,-0.32642418158095593,1.2999999999999998,130,0.06,False
21,6.24943497914411,-0.3362276098932347,1.3499999999999999,130,0.06,False
22,6.250857877789235,-0.35074993112500796,1.3999999999999997,130,0.06,False
23,6.251166315246519,-0.36006617727775747,1.4499999999999997,130,0.06,False
24,6.25068819641509,-0.3749845563945846,1.4999999999999998,130,0.06,False
25,6.251943078395368,-0.38504553955225523,1.5499999999999998,130,0.06,False
26,6.250424893838319,-0.40047184936895,1.5999999999999999,130,0.06,False
27,6.253415485426818,-0.4114632185185248,1.6499999999999997,130,0.06,False
28,6.251631932150971,-0.42629414001277083,1.6999999999999997,130,0.06,False
29,6.256779307107389,-0.4378049546067931,1.7499999999999998,130,0.06,False
30,6.254090583439481,-0.4499751613681389,1.7999999999999996,130,0.06,False
31,6.2596856560116665,-0.4619614721936466,1.8499999999999996,130,0.06,False
32,6.254884308287506,-0.47167358104936047,1.8999999999999997,130,0.06,False
33,6.259363906314843,-0.4864729850138952,1.9499999999999997,130,0.06,False
34,6.253477253336979,-0.49412470612992365,1.9999999999999998,130,0.06,False
35,6.256862688539023,-0.5144886156244601,2.0499999999999994,130,0.06,False
36,6.25360620958712,-0.519378747062305,2.0999999999999996,130,0.06,False
37,6.256795899537983,-0.5438666794330955,2.1499999999999995,130,0.06,False
38,6.259438961185812,-0.542013987492886,2.1999999999999993,130,0.06,False
0,3.2575990207166168,-0.91592559280969,0.3,110,0.1,True
1,3.303478265711444,-0.7622344242341073,0.35,110,0.1,True
2,3.32435970528993,-0.6679577987966033,0.39999999999999997,110,0.1,True
3,3.2941199590677064,-0.6115412992300759,0.44999999999999996,110,0.1,True
4,3.28469434374333,-0.6121171843754849,0.49999999999999994,110,0.1,True
5,3.2824108749379897,-0.617877378299986,0.5499999999999999,110,0.1,True
6,3.3006023455615217,-0.6426811664437441,0.5999999999999999,110,0.1,True
7,3.3270005387118293,-0.6479464149339365,0.6499999999999999,110,0.1,True
8,3.353049015301071,-0.6540661279599418,0.7,110,0.1,True
9,3.3751449859850036,-0.6459189005834443,0.7499999999999999,110,0.1,True
10,3.384272242445479,-0.6433119235526377,0.7999999999999998,110,0.1,True
11,3.39020830452934,-0.6408866090392382,0.8499999999999999,110,0.1,True
12,3.3876073524827435,-0.6486475874602523,0.8999999999999999,110,0.1,True
13,3.3905335351657078,-0.663287565737765,0.95,110,0.1,True
14,3.392674383417372,-0.6819265285746862,0.9999999999999998,110,0.1,True
15,3.403850134142481,-0.7021825770238125,1.0499999999999998,110,0.1,True
16,3.4151184387212843,-0.7193607701204588,1.0999999999999999,110,0.1,True
17,3.4306715862341584,-0.7350288990555247,1.15,110,0.1,True
18,3.4422470745426788,-0.7449737319594077,1.1999999999999997,110,0.1,True
19,3.4520437322742716,-0.7565527232035223,1.2499999999999998,110,0.1,True
20,3.4572362084919894,-0.767519397311517,1.2999999999999998,110,0.1,True
21,3.460496040812158,-0.7836770536174325,1.3499999999999999,110,0.1,True
22,3.464124030320542,-0.8007643234532926,1.3999999999999997,110,0.1,True
23,3.4691715230849014,-0.8244671361715111,1.4499999999999997,110,0.1,True
24,3.4802709181543126,-0.8465308093943686,1.4999999999999998,110,0.1,True
25,3.4927124834095533,-0.8694778681750999,1.5499999999999998,110,0.1,True
26,3.5107089854937383,-0.8868674086249348,1.5999999999999999,110,0.1,True
27,3.5239762795726914,-0.9008007770670993,1.6499999999999997,110,0.1,True
28,3.5379651412369433,-0.9129865237264098,1.6999999999999997,110,0.1,True
29,3.5421930848736887,-0.9229898417606792,1.7499999999999998,110,0.1,True
30,3.5468336796136666,-0.9385665159706911,1.7999999999999996,110,0.1,True
31,3.5452851743680007,-0.9570633285121734,1.8499999999999996,110,0.1,True
32,3.551323695934942,-0.9872857878763045,1.8999999999999997,110,0.1,True
33,3.5616003591828047,-1.0141537395419704,1.9499999999999997,110,0.1,True
34,3.582939537045361,-1.047421723399996,1.9999999999999998,110,0.1,True
35,3.610382130855414,-1.0627310785831037,2.0499999999999994,110,0.1,True
36,3.63586138059396,-1.076392360447342,2.0999999999999996,110,0.1,True
37,3.6576724100193885,-1.0649361798124428,2.1499999999999995,110,0.1,True
38,3.650838114900172,-1.063528920435921,2.1999999999999993,110,0.1,True
0,4.826892388759256,-0.5005670604761119,0.3,90,0.06,True
1,4.616559478395191,-0.46144846501131426,0.35,90,0.06,True
2,4.788977836477855,-0.5293955042905114,0.39999999999999997,90,0.06,True
3,4.694349727417588,-0.46213226002308244,0.44999999999999996,90,0.06,True
4,4.770332354017748,-0.5501567840434561,0.49999999999999994,90,0.06,True
5,4.738612025403301,-0.49605997008208474,0.5499999999999999,90,0.06,True
