d_wires,d_smp,ea,eb,f,period,siga,sigb,freq,pct_re,pct_im,path,nh
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.5000000000000001,-0.3627373273800174,0.18061402387397904,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.6000000000000001,-0.3925289201338984,0.2725619515447488,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.7000000000000002,-0.456308534722055,0.3427569036403295,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.8000000000000003,-0.4791508601417718,0.377418761543721,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,0.9000000000000001,-0.46595654464636027,0.4278536068264961,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.0000000000000002,-0.4583420840870076,0.5023446285390251,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.1000000000000003,-0.47272627813606505,0.5723447157303121,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.2000000000000004,-0.48796616144768734,0.6210798621899183,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.3000000000000003,-0.4869297102360832,0.663061162004492,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
0.5,0.75,9.0,16.0,0.4,10.0,150000.0,100.0,1.4000000000000004,-0.47862745766819614,0.7187777294662416,/home/uri/Desktop/grad/wire_grid_rcwa/simulation_data/wires_on_off_w_photoexcited_layer_results/70,15
