#
#"Frequency / THz"	"Eps'' (Fit) [Real Part]"
#-------------------------------------------
0.10000000149012	0.00057323940563947
0.10210210084915	0.00058528035879135
0.10317151993513	0.00059140578377992
0.10420420765877	0.00059732067165896
0.10630630701780	0.00060936046065763
0.10644362121820	0.00061014690436423
0.10840840637684	0.00062139960937202
0.10981950163841	0.00062948092818260
0.11051051318645	0.00063343817600980
0.11261261254549	0.00064547616057098
0.11330244690180	0.00064942642347887
0.11471471190453	0.00065751344664022
0.11681681871414	0.00066955015063286
0.11689586192369	0.00067000271519646
0.11891891807318	0.00068158615613356
0.12060323357582	0.00069122959394008
0.12102101743221	0.00069362152135000
0.12312312424183	0.00070565618807450
0.12442819029093	0.00071312743239105
0.12522523105145	0.00071769021451473
0.12732732295990	0.00072972348425537
0.12837445735931	0.00073571741813794
0.12942942976952	0.00074175611371174
0.13153153657913	0.00075378792826086
0.13244587182999	0.00075902114622295
0.13363362848759	0.00076581904431805
0.13573573529720	0.00077784946188331
0.13664641976357	0.00078306108480319
0.13783784210682	0.00078987906454131
0.13993993401527	0.00080190791049972
0.14098018407822	0.00080786022590473
0.14204204082489	0.00081393599975854
0.14414414763451	0.00082596327411011
0.14545139670372	0.00083344237646088
0.14624623954296	0.00083798973355442
0.14834834635258	0.00085001537809148
0.15006442368031	0.00085983198368922
0.15045045316219	0.00086204020772129
0.15255255997181	0.00087406416423619
0.15465465188026	0.00088608730584383
0.15482373535633	0.00088705436792225
0.15675675868988	0.00089810957433656
0.15885886549950	0.00091013096971437
0.15973399579525	0.00091513543156907
0.16096095740795	0.00092215149197727
0.16306306421757	0.00093417108291760
0.16480000317097	0.00094410200836137
0.16516517102718	0.00094618980074301
0.16726726293564	0.00095820758724585
0.16936936974525	0.00097022438421845
0.17002665996552	0.00097398168873042
0.17147147655487	0.00098224030807614
0.17357356846333	0.00099425518419594
0.17541909217834	0.0010048027615994
0.17567567527294	0.0010062692454085
0.17777778208256	0.0010182821424678
0.17987987399101	0.0010302942246199
0.18098254501820	0.0010365947382525
0.18198198080063	0.0010423051426187
0.18408408761024	0.0010543151292950
0.18618617951870	0.0010663240682334
0.18672242760658	0.0010693874210119
0.18828828632832	0.0010783320758492
0.19039039313793	0.0010903389193118
0.19249248504639	0.0011023447150365
0.19264437258244	0.0011032121255994
0.19459459185600	0.0011143494630232
0.19669669866562	0.0011263530468568
0.19875413179398	0.0011381005169824
0.19879880547523	0.0011383555829525
0.20090089738369	0.0011503570713103
0.20300300419331	0.0011623573955148
0.20505765080452	0.0011740856571123
0.20510511100292	0.0011743565555662
0.20720720291138	0.0011863546678796
0.20930930972099	0.0011983514996246
0.21141141653061	0.0012103472836316
0.21156109869480	0.0012112014228478
0.21351350843906	0.0012223417870700
0.21561561524868	0.0012343351263553
0.21771772205830	0.0012463273014873
0.21827079355717	0.0012494822731242
0.21981981396675	0.0012583183124661
0.22192192077637	0.0012703080428764
0.22402402758598	0.0012822964927182
0.22519329190254	0.0012889644131064
0.22612611949444	0.0012942836619914
0.22822822630405	0.0013062696671113
0.23033033311367	0.0013182543916628
0.23233534395695	0.0013296843972057
0.23243242502213	0.0013302378356457
0.23453453183174	0.0013422199990600
0.23663663864136	0.0013542007654905
0.23873874545097	0.0013661803677678
0.23970389366150	0.0013716801768169
0.24084083735943	0.0013781585730612
0.24294294416904	0.0013901353813708
0.24504505097866	0.0014021109091118
0.24714714288712	0.0014140850398690
0.24730615317822	0.0014149907510728
0.24924924969673	0.0014260577736422
0.25135135650635	0.0014380291104317
0.25345346331596	0.0014499991666526
0.25514951348305	0.0014596559340134
0.25555557012558	0.0014619677094743
0.25765764713287	0.0014739348553121
0.25975975394249	0.0014859006041661
0.26186186075211	0.0014978648396209
0.26324161887169	0.0015057171694934
0.26396396756172	0.0015098276780918
0.26606607437134	0.0015217890031636
0.26816818118095	0.0015337489312515
0.27027025818825	0.0015457073459402
0.27159038186073	0.0015532163670287
0.27237236499786	0.0015576642472297
0.27447447180748	0.0015696196351200
0.27657657861710	0.0015815733931959
0.27867868542671	0.0015935257542878
0.28020393848419	0.0016021971823648
0.28078079223633	0.0016054764855653
0.28288286924362	0.0016174257034436
0.28498497605324	0.0016293734079227
0.28708708286285	0.0016413194825873
0.28909066319466	0.0016527040861547
0.28918918967247	0.0016532639274374
0.29129129648209	0.0016652068588883
0.29339340329170	0.0016771480441093
0.29549551010132	0.0016890877159312
0.29759758710861	0.0017010257579386
0.29825922846794	0.0017047828296199
0.29969969391823	0.0017129620537162
0.30180180072784	0.0017248967196792
0.30390390753746	0.0017368297558278
0.30600601434708	0.0017487611621618
0.30771857500076	0.0017584802117199
0.30810812115669	0.0017606907058507
0.31021019816399	0.0017726187361404
0.31231230497360	0.0017845449037850
0.31441441178322	0.0017964694416150
0.31651651859283	0.0018083921168000
0.31747791171074	0.0018138444283977
0.31861862540245	0.0018203131621704
0.32072073221207	0.0018322323448956
0.32282280921936	0.0018441498978063
0.32492491602898	0.0018560654716566
0.32702702283859	0.0018679794156924
0.32754680514336	0.0018709249561653
0.32912912964821	0.0018798914970830
0.33123123645782	0.0018918017158285
0.33333334326744	0.0019037101883441
0.33543545007706	0.0019156167982146
0.33753752708435	0.0019275214290246
0.33793500065804	0.0019297722028568
0.33963963389397	0.0019394243136048
0.34174174070358	0.0019513253355399
0.34384384751320	0.0019632244948298
0.34594595432281	0.0019751216750592
0.34804806113243	0.0019870169926435
0.34865266084671	0.0019904379732907
0.35015013813972	0.0019989102147520
0.35225224494934	0.0020108018070459
0.35435435175896	0.0020226913038641
