#
#"Frequency / THz"	"Eps' (Fit) [Real Part]"
#------------------------------------------
0.10000000149012	9.0225296020508
0.10210210084915	9.0225286483765
0.10317151993513	9.0225286483765
0.10420420765877	9.0225286483765
0.10630630701780	9.0225276947021
0.10644362121820	9.0225276947021
0.10840840637684	9.0225276947021
0.10981950163841	9.0225276947021
0.11051051318645	9.0225267410278
0.11261261254549	9.0225267410278
0.11330244690180	9.0225267410278
0.11471471190453	9.0225257873535
0.11681681871414	9.0225257873535
0.11689586192369	9.0225257873535
0.11891891807318	9.0225248336792
0.12060323357582	9.0225248336792
0.12102101743221	9.0225248336792
0.12312312424183	9.0225238800049
0.12442819029093	9.0225238800049
0.12522523105145	9.0225229263306
0.12732732295990	9.0225229263306
0.12837445735931	9.0225219726562
0.12942942976952	9.0225219726562
0.13153153657913	9.0225210189819
0.13244587182999	9.0225210189819
0.13363362848759	9.0225210189819
0.13573573529720	9.0225200653076
0.13664641976357	9.0225200653076
0.13783784210682	9.0225200653076
0.13993993401527	9.0225191116333
0.14098018407822	9.0225191116333
0.14204204082489	9.0225181579590
0.14414414763451	9.0225172042847
0.14545139670372	9.0225172042847
0.14624623954296	9.0225172042847
0.14834834635258	9.0225162506104
0.15006442368031	9.0225152969360
0.15045045316219	9.0225152969360
0.15255255997181	9.0225152969360
0.15465465188026	9.0225143432617
0.15482373535633	9.0225143432617
0.15675675868988	9.0225133895874
0.15885886549950	9.0225124359131
0.15973399579525	9.0225124359131
0.16096095740795	9.0225124359131
0.16306306421757	9.0225114822388
0.16480000317097	9.0225105285645
0.16516517102718	9.0225105285645
0.16726726293564	9.0225095748901
0.16936936974525	9.0225086212158
0.17002665996552	9.0225086212158
0.17147147655487	9.0225086212158
0.17357356846333	9.0225076675415
0.17541909217834	9.0225067138672
0.17567567527294	9.0225067138672
0.17777778208256	9.0225057601929
0.17987987399101	9.0225048065186
0.18098254501820	9.0225048065186
0.18198198080063	9.0225038528442
0.18408408761024	9.0225028991699
0.18618617951870	9.0225019454956
0.18672242760658	9.0225019454956
0.18828828632832	9.0225019454956
0.19039039313793	9.0225009918213
0.19249248504639	9.0225000381470
0.19264437258244	9.0225000381470
0.19459459185600	9.0224990844727
0.19669669866562	9.0224981307983
0.19875413179398	9.0224971771240
0.19879880547523	9.0224971771240
0.20090089738369	9.0224962234497
0.20300300419331	9.0224952697754
0.20505765080452	9.0224943161011
0.20510511100292	9.0224943161011
0.20720720291138	9.0224933624268
0.20930930972099	9.0224924087524
0.21141141653061	9.0224914550781
0.21156109869480	9.0224914550781
0.21351350843906	9.0224905014038
0.21561561524868	9.0224895477295
0.21771772205830	9.0224885940552
0.21827079355717	9.0224885940552
0.21981981396675	9.0224876403809
0.22192192077637	9.0224866867065
0.22402402758598	9.0224857330322
0.22519329190254	9.0224847793579
0.22612611949444	9.0224847793579
0.22822822630405	9.0224828720093
0.23033033311367	9.0224819183350
0.23233534395695	9.0224809646606
0.23243242502213	9.0224809646606
0.23453453183174	9.0224800109863
0.23663663864136	9.0224790573120
0.23873874545097	9.0224781036377
0.23970389366150	9.0224771499634
0.24084083735943	9.0224771499634
0.24294294416904	9.0224752426147
0.24504505097866	9.0224742889404
0.24714714288712	9.0224733352661
0.24730615317822	9.0224733352661
0.24924924969673	9.0224723815918
0.25135135650635	9.0224714279175
0.25345346331596	9.0224695205688
0.25514951348305	9.0224685668945
0.25555557012558	9.0224685668945
0.25765764713287	9.0224676132202
0.25975975394249	9.0224666595459
0.26186186075211	9.0224657058716
0.26324161887169	9.0224647521973
0.26396396756172	9.0224637985229
0.26606607437134	9.0224628448486
0.26816818118095	9.0224618911743
0.27027025818825	9.0224599838257
0.27159038186073	9.0224599838257
0.27237236499786	9.0224590301514
0.27447447180748	9.0224580764771
0.27657657861710	9.0224561691284
0.27867868542671	9.0224552154541
0.28020393848419	9.0224542617798
0.28078079223633	9.0224542617798
0.28288286924362	9.0224523544312
0.28498497605324	9.0224514007568
0.28708708286285	9.0224504470825
0.28909066319466	9.0224485397339
0.28918918967247	9.0224485397339
0.29129129648209	9.0224475860596
0.29339340329170	9.0224456787109
0.29549551010132	9.0224447250366
0.29759758710861	9.0224437713623
0.29825922846794	9.0224428176880
0.29969969391823	9.0224418640137
0.30180180072784	9.0224409103394
0.30390390753746	9.0224390029907
0.30600601434708	9.0224380493164
0.30771857500076	9.0224370956421
0.30810812115669	9.0224361419678
0.31021019816399	9.0224351882935
0.31231230497360	9.0224332809448
0.31441441178322	9.0224323272705
0.31651651859283	9.0224304199219
0.31747791171074	9.0224304199219
0.31861862540245	9.0224294662476
0.32072073221207	9.0224275588989
0.32282280921936	9.0224266052246
0.32492491602898	9.0224246978760
0.32702702283859	9.0224237442017
0.32754680514336	9.0224227905273
0.32912912964821	9.0224218368530
0.33123123645782	9.0224199295044
0.33333334326744	9.0224189758301
0.33543545007706	9.0224170684814
0.33753752708435	9.0224161148071
0.33793500065804	9.0224151611328
0.33963963389397	9.0224142074585
0.34174174070358	9.0224123001099
0.34384384751320	9.0224113464355
0.34594595432281	9.0224094390869
0.34804806113243	9.0224075317383
0.34865266084671	9.0224075317383
0.35015013813972	9.0224065780640
0.35225224494934	9.0224046707153
0.35435435175896	9.0224027633667
0.35645645856857	9.0224008560181
0.35855856537819	9.0223999023438
0.35971027612686	9.0223989486694
0.36066067218781	9.0223979949951
0.36276274919510	9.0223960876465
0.36486485600471	9.0223951339722
0.36696696281433	9.0223932266235
0.36906906962395	9.0223913192749
0.37111854553223	9.0223894119263
0.37117117643356	9.0223894119263
