,cond_re,cond_im,freq,d_rot
0,2.9248342564099343,-1.0528477752919774,0.3,70
1,3.086301277168516,-1.1992352191723274,0.35,70
2,2.9374507740430893,-1.2722360177482692,0.39999999999999997,70
3,2.976666855299043,-1.49583166205743,0.44999999999999996,70
4,2.905722664250512,-1.6168459855988622,0.49999999999999994,70
5,2.9193534663397824,-1.857786793386069,0.5499999999999999,70
6,2.9139728611570943,-1.9967264227135246,0.5999999999999999,70
7,2.923069788073114,-2.2151274011133277,0.6499999999999999,70
8,2.9444578558828782,-2.3466102686477437,0.7,70
9,2.939278343539104,-2.534132759158539,0.7499999999999999,70
10,2.9591491945877224,-2.6763084846363956,0.7999999999999998,70
11,2.937016455142878,-2.84632447283817,0.8499999999999999,70
12,2.95014187080863,-3.0053733686920183,0.8999999999999999,70
13,2.928292432498038,-3.1777231467018963,0.95,70
14,2.942024099721981,-3.3482391307584676,0.9999999999999998,70
15,2.930221832525237,-3.5168318417302666,1.0499999999999998,70
16,2.947364857626903,-3.696032193180277,1.0999999999999999,70
17,2.9427469762451257,-3.8501002188479316,1.15,70
18,2.9548964309143195,-4.026323996165755,1.1999999999999997,70
19,2.954163892267819,-4.177584575933641,1.2499999999999998,70
20,2.9532716978597517,-4.350225695984492,1.2999999999999998,70
21,2.95306832464919,-4.5037142205475025,1.3499999999999999,70
22,2.9455897463373577,-4.6842984794224,1.3999999999999997,70
23,2.9513360853235677,-4.840893453514846,1.4499999999999997,70
24,2.9437115077150335,-5.0220651815715405,1.4999999999999998,70
25,2.9625812742656223,-5.186687218787707,1.5499999999999998,70
26,2.9531683142779395,-5.354102603582849,1.5999999999999999,70
27,2.976929589486875,-5.517658181201766,1.6499999999999997,70
28,2.9640185093079316,-5.673766858620401,1.6999999999999997,70
29,2.9798885127230643,-5.8395767245876975,1.7499999999999998,70
30,2.9590201974086416,-5.987990103710886,1.7999999999999996,70
31,2.9674464775804736,-6.175844151632796,1.8499999999999996,70
32,2.951128563412274,-6.31843051509901,1.8999999999999997,70
33,2.9589119854019366,-6.526501491221203,1.9499999999999997,70
34,2.973526298682393,-6.66281637631047,1.9999999999999998,70
35,2.9730323941303314,-6.869333652806576,2.0499999999999994,70
36,3.018502500225748,-6.9786631151396685,2.0999999999999996,70
37,2.980768879284806,-7.165554820438036,2.1499999999999995,70
38,3.0467142877949964,-7.267351094786466,2.1999999999999993,70
0,2.949470798433085,-0.9831288377150456,0.3,75
1,2.92341137322516,-1.156843607596722,0.35,75
2,2.9473496094251397,-1.3342218048290542,0.39999999999999997,75
3,2.942618580132504,-1.4923095888900566,0.44999999999999996,75
4,2.9547552794530336,-1.6657525001810758,0.49999999999999994,75
5,2.952778993789391,-1.8150158363017874,0.5499999999999999,75
6,2.9539221875354835,-1.985916247040478,0.5999999999999999,75
7,2.9526215560802616,-2.140379361963387,0.6499999999999999,75
8,2.95054898063998,-2.312491961328029,0.7,75
9,2.952856082009865,-2.4721707245616495,0.7499999999999999,75
10,2.952896216248224,-2.643066166350642,0.7999999999999998,75
11,2.9586177965108984,-2.80383468825904,0.8499999999999999,75
12,2.960386131264339,-2.97057481278235,0.8999999999999999,75
13,2.967571127922657,-3.1345330789337065,0.95,75
14,2.96726383031929,-3.2933232268146053,0.9999999999999998,75
15,2.972031132726328,-3.4571923654170007,1.0499999999999998,75
16,2.970550989303638,-3.6152537222768006,1.0999999999999999,75
17,2.9734606881231795,-3.7808595228251325,1.15,75
18,2.9726786563714436,-3.9397757835810574,1.1999999999999997,75
19,2.9757439677151014,-4.106738032644128,1.2499999999999998,75
20,2.9773266206379,-4.265629788300679,1.2999999999999998,75
21,2.981123508328145,-4.431661450963262,1.3499999999999999,75
22,2.9864016070022505,-4.592764313849326,1.3999999999999997,75
23,2.9873797127066304,-4.7524516631755,1.4499999999999997,75
24,2.992360355853785,-4.912053670973919,1.4999999999999998,75
25,2.9907328396392288,-5.0700677669980285,1.5499999999999998,75
26,2.9944457527012864,-5.230458380548766,1.5999999999999999,75
27,2.9908851380040304,-5.388458304733345,1.6499999999999997,75
28,2.9947280520167503,-5.551433857384418,1.6999999999999997,75
29,2.991844988259137,-5.709175736679783,1.7499999999999998,75
30,2.9974202435733366,-5.873719124636398,1.7999999999999996,75
31,2.99912550645294,-6.0315397259965735,1.8499999999999996,75
32,3.002507337757028,-6.191943811701193,1.8999999999999997,75
33,3.005201313592874,-6.344446418053731,1.9499999999999997,75
34,3.0041255578551613,-6.503856054309137,1.9999999999999998,75
35,3.006629409098116,-6.653461168009705,2.0499999999999994,75
36,2.999087164935591,-6.81475232609887,2.0999999999999996,75
37,3.0066992760951927,-6.965963428113416,2.1499999999999995,75
38,2.9971545135334954,-7.127287436844728,2.1999999999999993,75
0,2.947922974139958,-0.9536601631967401,0.3,80
1,2.830425372202775,-1.1209026500104369,0.35,80
2,2.9322968388914483,-1.3428731719470657,0.39999999999999997,80
3,2.905544621601632,-1.46381852862193,0.44999999999999996,80
4,2.9539521770761636,-1.6570538860266941,0.49999999999999994,80
5,2.9464679519426595,-1.766784728603473,0.5499999999999999,80
6,2.952794756169302,-1.9468137602999647,0.5999999999999999,80
7,2.949826284599159,-2.073454664218543,0.6499999999999999,80
8,2.938351400363979,-2.2566277198206173,0.7,80
9,2.946297965874776,-2.3993701287264355,0.7499999999999999,80
10,2.9369139495569105,-2.5780372139288517,0.7999999999999998,80
11,2.9561177665757365,-2.734576051113537,0.8499999999999999,80
12,2.9497155608491297,-2.8965126620599677,0.8999999999999999,80
13,2.9700321049321747,-3.0537510496852525,0.95,80
